"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"172";"A023723";"2004KW01";"    84.1";"     0.5";"     1.2"
"173";"A023723";"2004KW02";"    84.4";"     0.4";"     0.9"
"174";"A023723";"2004KW03";"    84.6";"     0.2";"     1.1"
"175";"A023723";"2004KW04";"    85.4";"     0.9";"     2.0"
"176";"A023723";"2004JJ00";"    84.6";"";"     1.3"
"177";"A023723";"2005KW01";"    86.9";"     1.7";"     3.3"
"178";"A023723";"2005KW02";"    87.2";"     0.4";"     3.3"
"179";"A023723";"2005KW03";"    87.5";"     0.3";"     3.4"
"180";"A023723";"2005KW04";"    87.8";"     0.3";"     2.8"
"181";"A023723";"2005JJ00";"    87.4";"";"     3.2"
"182";"A023723";"2006KW01";"    89.1";"     1.5";"     2.5"
"183";"A023723";"2006KW02";"    89.2";"     0.2";"     2.3"
"184";"A023723";"2006KW03";"    89.6";"     0.4";"     2.3"
"185";"A023723";"2006KW04";"    89.4";"    -0.1";"     1.9"
"186";"A023723";"2006JJ00";"    89.3";"";"     2.3"
"187";"A023723";"2007KW01";"    90.7";"     1.4";"     1.8"
"188";"A023723";"2007KW02";"    91.4";"     0.7";"     2.4"
"189";"A023723";"2007KW03";"    91.5";"     0.2";"     2.2"
"190";"A023723";"2007KW04";"    92.0";"     0.5";"     2.9"
"191";"A023723";"2007JJ00";"    91.4";"";"     2.3"
"192";"A023723";"2008KW01";"    94.4";"     2.5";"     4.0"
"193";"A023723";"2008KW02";"    95.2";"     0.9";"     4.2"
"194";"A023723";"2008KW03";"    96.5";"     1.4";"     5.4"
"195";"A023723";"2008KW04";"    95.7";"    -0.9";"     4.0"
"196";"A023723";"2008JJ00";"    95.4";"";"     4.4"
"197";"A023723";"2009KW01";"    95.0";"    -0.7";"     0.7"
"198";"A023723";"2009KW02";"    94.4";"    -0.7";"    -0.8"
"199";"A023723";"2009KW03";"    93.8";"    -0.6";"    -2.8"
"200";"A023723";"2009KW04";"    94.0";"     0.2";"    -1.7"
"201";"A023723";"2009JJ00";"    94.3";"";"    -1.2"
"202";"A023723";"2010KW01";"    94.2";"     0.2";"    -0.9"
"203";"A023723";"2010KW02";"    94.3";"     0.1";"    -0.1"
"204";"A023723";"2010KW03";"    94.2";"    -0.1";"     0.4"
"205";"A023723";"2010KW04";"    94.4";"     0.2";"     0.5"
"206";"A023723";"2010JJ00";"    94.3";"";"     0.0"
"207";"A023723";"2011KW01";"    96.5";"     2.1";"     2.4"
"208";"A023723";"2011KW02";"    98.0";"     1.6";"     3.9"
"209";"A023723";"2011KW03";"    97.9";"    -0.1";"     3.9"
"210";"A023723";"2011KW04";"    98.1";"     0.2";"     3.9"
"211";"A023723";"2011JJ00";"    97.6";"";"     3.5"
"212";"A023723";"2012KW01";"    99.0";"     0.9";"     2.6"
"213";"A023723";"2012KW02";"    99.5";"     0.5";"     1.5"
"214";"A023723";"2012KW03";"    99.5";"     0.0";"     1.7"
"215";"A023723";"2012KW04";"    99.9";"     0.4";"     1.8"
"216";"A023723";"2012JJ00";"    99.5";"";"     1.9"
"217";"A023723";"2013KW01";"   100.5";"     0.6";"     1.5"
"218";"A023723";"2013KW02";"   100.2";"    -0.3";"     0.7"
"219";"A023723";"2013KW03";"   100.0";"    -0.2";"     0.5"
"220";"A023723";"2013KW04";"   100.0";"     0.0";"     0.2"
"221";"A023723";"2013JJ00";"   100.2";"";"     0.7"
"222";"A023723";"2014KW01";"   100.4";"     0.4";"    -0.1"
"223";"A023723";"2014KW02";"   100.4";"     0.0";"     0.2"
"224";"A023723";"2014KW03";"   100.5";"     0.1";"     0.5"
"225";"A023723";"2014KW04";"   100.4";"    -0.2";"     0.3"
"226";"A023723";"2014JJ00";"   100.4";"";"     0.2"
"227";"A023723";"2015KW01";"   100.0";"    -0.4";"    -0.4"
"228";"A023723";"2015KW02";"   100.2";"     0.2";"    -0.2"
"229";"A023723";"2015KW03";"   100.1";"    -0.1";"    -0.4"
"230";"A023723";"2015KW04";"    99.8";"    -0.3";"    -0.6"
"231";"A023723";"2015JJ00";"   100.0";"";"    -0.4"
"232";"A023723";"2016KW01";"    99.7";"    -0.1";"    -0.3"
"233";"A023723";"2016KW02";"   100.1";"     0.4";"    -0.1"
"234";"A023723";"2016KW03";"   100.2";"     0.1";"     0.2"
"235";"A023723";"2016KW04";"   100.5";"     0.3";"     0.7"
"236";"A023723";"2016JJ00";"   100.1";"";"     0.1"
"237";"A023723";"2017KW01";"   101.3";"     0.8";"     1.6"
"238";"A023723";"2017KW02";"   101.5";"     0.3";"     1.4"
"239";"A023723";"2017KW03";"   101.5";"     0.0";"     1.3"
"240";"A023723";"2017KW04";"   101.9";"     0.3";"     1.4"
"241";"A023723";"2017JJ00";"   101.6";"";"     1.4"
"242";"A023723";"2018KW01";"   103.7";"     1.8";"     2.4"
"243";"A023723";"2018KW02";"   104.2";"     0.5";"     2.6"
"244";"A023723";"2018KW03";"   104.8";"     0.6";"     3.2"
"245";"A023723";"2018KW04";"   105.4";"     0.5";"     3.5"
"246";"A023723";"2018JJ00";"   104.5";"";"     2.9"
"247";"A023723";"2019KW01";"   108.1";"     2.6";"     4.3"
"248";"A023723";"2019KW02";"   108.7";"     0.6";"     4.3"
"249";"A023764";"2002KW04";"";"";""
"250";"A023764";"2003KW01";"    83.2";"";""
"251";"A023764";"2003KW02";"    83.7";"     0.6";""
"252";"A023764";"2003KW03";"    83.7";"     0.1";""
"253";"A023764";"2003KW04";"    83.7";"     0.0";""
"254";"A023764";"2003JJ00";"    83.6";"";""
"255";"A023764";"2004KW01";"    84.1";"     0.5";"     1.2"
"256";"A023764";"2004KW02";"    84.4";"     0.4";"     0.9"
"257";"A023764";"2004KW03";"    84.6";"     0.2";"     1.1"
"258";"A023764";"2004KW04";"    85.4";"     0.9";"     2.0"
"259";"A023764";"2004JJ00";"    84.6";"";"     1.3"
"260";"A023764";"2005KW01";"    86.9";"     1.7";"     3.3"
"261";"A023764";"2005KW02";"    87.2";"     0.4";"     3.3"
"262";"A023764";"2005KW03";"    87.5";"     0.3";"     3.4"
"263";"A023764";"2005KW04";"    87.8";"     0.3";"     2.8"
"264";"A023764";"2005JJ00";"    87.4";"";"     3.2"
"265";"A023764";"2006KW01";"    89.1";"     1.5";"     2.5"
"266";"A023764";"2006KW02";"    89.2";"     0.2";"     2.3"
"267";"A023764";"2006KW03";"    89.6";"     0.4";"     2.3"
"268";"A023764";"2006KW04";"    89.4";"    -0.1";"     1.9"
"269";"A023764";"2006JJ00";"    89.3";"";"     2.3"
"270";"A023764";"2007KW01";"    90.7";"     1.4";"     1.8"
"271";"A023764";"2007KW02";"    91.4";"     0.7";"     2.4"
"272";"A023764";"2007KW03";"    91.5";"     0.2";"     2.2"
"273";"A023764";"2007KW04";"    92.0";"     0.5";"     2.9"
"274";"A023764";"2007JJ00";"    91.4";"";"     2.3"
"275";"A023764";"2008KW01";"    94.4";"     2.5";"     4.0"
"276";"A023764";"2008KW02";"    95.2";"     0.9";"     4.2"
"277";"A023764";"2008KW03";"    96.5";"     1.4";"     5.4"
"278";"A023764";"2008KW04";"    95.7";"    -0.9";"     4.0"
"279";"A023764";"2008JJ00";"    95.4";"";"     4.4"
"280";"A023764";"2009KW01";"    95.0";"    -0.7";"     0.7"
"281";"A023764";"2009KW02";"    94.4";"    -0.7";"    -0.8"
"282";"A023764";"2009KW03";"    93.8";"    -0.6";"    -2.8"
"283";"A023764";"2009KW04";"    94.0";"     0.2";"    -1.7"
"284";"A023764";"2009JJ00";"    94.3";"";"    -1.2"
"285";"A023764";"2010KW01";"    94.2";"     0.2";"    -0.9"
"286";"A023764";"2010KW02";"    94.3";"     0.1";"    -0.1"
"287";"A023764";"2010KW03";"    94.2";"    -0.1";"     0.4"
"288";"A023764";"2010KW04";"    94.4";"     0.2";"     0.5"
"289";"A023764";"2010JJ00";"    94.3";"";"     0.0"
"290";"A023764";"2011KW01";"    96.5";"     2.1";"     2.4"
"291";"A023764";"2011KW02";"    98.0";"     1.6";"     3.9"
"292";"A023764";"2011KW03";"    97.9";"    -0.1";"     3.9"
"293";"A023764";"2011KW04";"    98.1";"     0.2";"     3.9"
"294";"A023764";"2011JJ00";"    97.6";"";"     3.5"
"295";"A023764";"2012KW01";"    99.0";"     0.9";"     2.6"
"296";"A023764";"2012KW02";"    99.5";"     0.5";"     1.5"
"297";"A023764";"2012KW03";"    99.5";"     0.0";"     1.7"
"298";"A023764";"2012KW04";"    99.9";"     0.4";"     1.8"
"299";"A023764";"2012JJ00";"    99.5";"";"     1.9"
"300";"A023764";"2013KW01";"   100.5";"     0.6";"     1.5"
"301";"A023764";"2013KW02";"   100.2";"    -0.3";"     0.7"
"302";"A023764";"2013KW03";"   100.0";"    -0.2";"     0.5"
"303";"A023764";"2013KW04";"   100.0";"     0.0";"     0.2"
"304";"A023764";"2013JJ00";"   100.2";"";"     0.7"
"305";"A023764";"2014KW01";"   100.4";"     0.4";"    -0.1"
"306";"A023764";"2014KW02";"   100.4";"     0.0";"     0.2"
"307";"A023764";"2014KW03";"   100.5";"     0.1";"     0.5"
"308";"A023764";"2014KW04";"   100.4";"    -0.2";"     0.3"
"309";"A023764";"2014JJ00";"   100.4";"";"     0.2"
"310";"A023764";"2015KW01";"   100.0";"    -0.4";"    -0.4"
"311";"A023764";"2015KW02";"   100.2";"     0.2";"    -0.2"
"312";"A023764";"2015KW03";"   100.1";"    -0.1";"    -0.4"
"313";"A023764";"2015KW04";"    99.8";"    -0.3";"    -0.6"
"314";"A023764";"2015JJ00";"   100.0";"";"    -0.4"
"315";"A023764";"2016KW01";"    99.7";"    -0.1";"    -0.3"
"316";"A023764";"2016KW02";"   100.1";"     0.4";"    -0.1"
"317";"A023764";"2016KW03";"   100.2";"     0.1";"     0.2"
"318";"A023764";"2016KW04";"   100.5";"     0.3";"     0.7"
"319";"A023764";"2016JJ00";"   100.1";"";"     0.1"
"320";"A023764";"2017KW01";"   101.3";"     0.8";"     1.6"
"321";"A023764";"2017KW02";"   101.5";"     0.3";"     1.4"
"322";"A023764";"2017KW03";"   101.5";"     0.0";"     1.3"
"323";"A023764";"2017KW04";"   101.9";"     0.3";"     1.4"
"324";"A023764";"2017JJ00";"   101.6";"";"     1.4"
"325";"A023764";"2018KW01";"   103.7";"     1.8";"     2.4"
"326";"A023764";"2018KW02";"   104.2";"     0.5";"     2.6"
"327";"A023764";"2018KW03";"   104.8";"     0.6";"     3.2"
"328";"A023764";"2018KW04";"   105.4";"     0.5";"     3.5"
"329";"A023764";"2018JJ00";"   104.5";"";"     2.9"
"330";"A023764";"2019KW01";"   108.1";"     2.6";"     4.3"
"331";"A023764";"2019KW02";"   108.7";"     0.6";"     4.3"
"332";"A023765";"2002KW04";"";"";""
"333";"A023765";"2003KW01";"    82.9";"";""
"334";"A023765";"2003KW02";"    83.3";"     0.6";""
"335";"A023765";"2003KW03";"    83.4";"     0.1";""
"336";"A023765";"2003KW04";"    83.4";"     0.1";""
"337";"A023765";"2003JJ00";"    83.2";"";""
"338";"A023765";"2004KW01";"    83.8";"     0.4";"     1.1"
"339";"A023765";"2004KW02";"    84.1";"     0.4";"     0.9"
"340";"A023765";"2004KW03";"    84.3";"     0.2";"     1.1"
"341";"A023765";"2004KW04";"    85.1";"     0.9";"     2.0"
"342";"A023765";"2004JJ00";"    84.3";"";"     1.3"
"343";"A023765";"2005KW01";"    86.6";"     1.8";"     3.4"
"344";"A023765";"2005KW02";"    87.0";"     0.4";"     3.4"
